,Date
568,2021-01-31
569,2021-01-31
570,2021-01-31
571,2021-01-31
572,2021-01-31
573,2021-01-31
574,2021-01-31
575,2021-01-31
576,2021-01-31
577,2021-01-31
578,2021-01-31
579,2021-01-31
580,2021-01-31
581,2021-01-31
582,2021-01-31
583,2021-01-31
584,2021-01-31
585,2021-01-31
586,2021-01-31
587,2021-01-31
588,2021-01-31
589,2021-01-31
590,2021-01-31
591,2021-01-31
592,2021-01-31
593,2021-01-31
594,2021-01-31
595,2021-01-30
596,2021-01-30
597,2021-01-30
598,2021-01-30
599,2021-01-30
600,2021-01-30
601,2021-01-30
602,2021-01-30
603,2021-01-30
604,2021-01-30
605,2021-01-30
606,2021-01-30
607,2021-01-30
608,2021-01-30
609,2021-01-30
610,2021-01-30
611,2021-01-30
612,2021-01-30
613,2021-01-30
614,2021-01-30
615,2021-01-30
616,2021-01-30
617,2021-01-30
618,2021-01-30
619,2021-01-30
620,2021-01-30
621,2021-01-30
622,2021-01-30
623,2021-01-30
624,2021-01-30
625,2021-01-30
626,2021-01-30
627,2021-01-30
628,2021-01-30
629,2021-01-30
630,2021-01-30
631,2021-01-30
632,2021-01-30
633,2021-01-30
634,2021-01-30
635,2021-01-30
636,2021-01-30
637,2021-01-30
638,2021-01-30
639,2021-01-30
640,2021-01-30
641,2021-01-30
642,2021-01-30
643,2021-01-30
644,2021-01-30
645,2021-01-30
646,2021-01-30
647,2021-01-30
648,2021-01-30
649,2021-01-30
650,2021-01-30
651,2021-01-30
652,2021-01-30
653,2021-01-30
654,2021-01-30
655,2021-01-30
656,2021-01-30
657,2021-01-30
658,2021-01-30
659,2021-01-30
660,2021-01-30
661,2021-01-30
662,2021-01-30
663,2021-01-30
664,2021-01-30
665,2021-01-30
666,2021-01-30
667,2021-01-30
668,2021-01-30
669,2021-01-30
670,2021-01-30
671,2021-01-30
672,2021-01-30
673,2021-01-30
674,2021-01-30
675,2021-01-30
676,2021-01-30
677,2021-01-30
678,2021-01-30
679,2021-01-30
680,2021-01-30
681,2021-01-30
682,2021-01-30
683,2021-01-30
684,2021-01-30
685,2021-01-30
686,2021-01-30
687,2021-01-30
688,2021-01-30
689,2021-01-30
690,2021-01-30
691,2021-01-30
692,2021-01-30
693,2021-01-30
694,2021-01-30
695,2021-01-28
696,2021-01-29
697,2021-01-29
698,2021-01-29
699,2021-01-29
700,2021-01-29
701,2021-01-29
702,2021-01-29
703,2021-01-29
704,2021-01-29
705,2021-01-29
706,2021-01-29
707,2021-01-29
708,2021-01-29
709,2021-01-29
710,2021-01-29
